hora,temperatura,umidade,pto_orvalho,pressao,radiacao,vento
13,30.5,46.0,17.4,954.8,3292.0,1.7
14,NaN,37.0,14.8,954.0,3722.0,1.7
15,32.4,41.0,17.4,953.3,3858.0,1.1
16,NaN,42.0,18.3,952.2,3747.0,1.1
17,33.2,36.0,16.1,951.4,3469.0,1.5
18,33.7,41.0,18.6,951.0,2709.0,2.1
19,32.7,40.0,17.2,951.0,1874.0,2.1
20,NaN,39.0,16.2,951.4,1194.0,1.1
21,28.8,49.0,17.1,951.9,301.8,0.3
22,26.8,57.0,17.7,952.4,-3.29,1.3
23,24.7,66.0,18.0,953.0,-3.54,0.5
0,NaN,74.0,18.6,953.6,-3.54,0.0
1,22.9,77.0,18.6,954.1,-3.53,0.5
2,22.6,74.0,17.6,953.7,-3.41,0.8
3,23.6,74.0,18.6,953.7,-3.07,1.5
4,22.2,86.0,19.7,953.5,-3.54,0.3
5,21.6,85.0,19.0,953.3,-3.54,0.2
6,21.2,92.0,19.8,953.0,-3.54,0.6
7,21.1,92.0,19.8,953.1,-3.37,0.5
8,20.6,94.0,19.5,953.5,-3.53,0.2
9,21.1,94.0,20.1,954.2,104.1,0.0
10,23.5,84.0,20.7,954.7,630.4,0.0
11,25.7,73.0,20.4,954.9,1335.0,0.2
12,27.1,61.0,18.8,955.0,2641.0,1.5
13,28.6,56.0,19.0,954.9,3332.0,1.4
14,30.3,54.0,19.9,954.5,3776.0,2.1
15,31.2,57.0,21.8,953.6,3973.0,1.5
16,32.7,37.0,16.0,952.6,3958.0,1.8
17,33.0,32.0,14.2,951.8,2992.0,2.5
18,33.0,27.0,11.5,951.0,2912.0,1.6
19,32.9,26.0,10.7,950.7,2115.0,2.5
20,32.1,29.0,12.0,950.5,1189.0,2.2
21,29.2,39.0,14.0,950.7,291.9,0.3
22,NaN,49.0,14.0,951.1,-3.5,0.1
23,23.7,63.0,16.3,951.6,-3.54,0.0
0,22.3,66.0,15.7,951.9,-3.54,0.3
1,21.9,70.0,16.1,952.2,-3.54,0.0
2,20.9,72.0,15.6,952.0,-3.54,0.0
3,20.4,77.0,16.3,951.4,-3.54,0.0
4,NaN,81.0,16.4,951.1,-3.54,0.0
5,19.5,82.0,16.3,951.0,-3.54,0.0
6,19.6,80.0,16.0,951.4,-3.54,0.0
7,19.6,80.0,16.0,952.1,-3.54,0.0
8,19.6,80.0,16.1,952.9,-3.5,0.0
9,20.3,81.0,16.8,953.8,80.85,0.0
10,22.9,80.0,19.2,954.5,580.5,0.0
11,26.4,62.0,18.6,954.9,1261.0,0.4
12,27.4,64.0,20.0,954.9,2394.0,1.7
13,29.1,60.0,20.4,954.5,3291.0,2.4
14,30.9,54.0,20.6,953.9,3661.0,2.3
15,31.3,49.0,19.4,952.8,3888.0,3.2
16,32.1,44.0,18.4,951.5,3493.0,2.0
17,32.5,36.0,15.4,950.6,2913.0,2.2
18,33.0,36.0,16.1,949.7,2211.0,2.2
19,32.5,33.0,14.3,949.4,2059.0,2.1
20,NaN,32.0,13.8,949.2,1085.0,1.2
21,29.9,44.0,16.2,949.8,246.8,0.4
22,26.9,56.0,17.3,950.7,-3.3,1.5
23,25.7,62.0,17.8,951.1,-3.54,0.6
0,NaN,65.0,18.6,952.0,-3.54,2.4
1,25.6,63.0,18.2,952.5,-3.48,1.8
2,25.8,61.0,17.6,952.6,-3.54,3.7
3,25.5,60.0,17.1,952.3,-3.54,3.5
4,25.4,60.0,17.1,951.9,-3.53,4.0
5,25.2,63.0,17.5,951.8,-3.54,3.2
6,NaN,66.0,17.6,951.8,-3.54,2.0
7,22.5,76.0,18.0,952.3,-3.54,0.1
8,21.9,80.0,18.2,952.9,-3.53,0.0
9,24.0,68.0,17.8,953.8,81.74,1.8
10,25.8,62.0,17.9,954.3,797.6,2.2
11,27.2,60.0,18.8,954.9,1970.0,3.0
12,28.9,54.0,18.8,954.7,2723.0,3.4
13,30.0,50.0,18.5,954.8,3368.0,3.8
14,30.4,48.0,18.0,954.5,3958.0,3.4
15,31.5,45.0,18.3,953.5,3667.0,2.5
16,31.8,46.0,18.8,951.9,3742.0,2.7
17,32.3,40.0,17.0,950.9,3061.0,3.2
18,31.8,44.0,18.1,950.0,2140.0,3.2
19,30.5,50.0,18.9,950.1,1039.0,3.6
20,28.7,61.0,20.5,950.6,390.7,2.8
21,27.4,67.0,20.7,951.2,117.6,1.1
22,26.8,69.0,20.6,951.8,-2.55,0.0
23,26.1,74.0,21.1,952.6,-3.54,0.2
0,23.4,77.0,19.1,954.2,-2.95,4.1
1,22.2,87.0,19.9,954.8,-2.95,0.6
2,22.4,85.0,19.8,954.5,-3.07,0.7
3,22.4,83.0,19.4,953.9,-3.18,0.2
4,21.4,93.0,20.2,953.9,-3.44,0.7
5,21.6,94.0,20.5,953.4,-2.83,0.0
6,21.6,94.0,20.6,953.1,-2.99,0.0
7,21.3,94.0,20.3,953.2,-2.46,0.0
8,21.3,94.0,20.3,953.5,-2.74,0.2
9,21.8,94.0,20.8,954.0,91.61,0.0
10,24.3,87.0,22.1,954.4,639.3,0.3
11,26.6,79.0,22.7,955.0,1332.0,0.6
12,29.6,62.0,21.5,955.0,2509.0,1.3
13,NaN,52.0,19.0,954.7,3014.0,2.0
14,NaN,47.0,18.1,954.1,2977.0,3.3
15,26.9,65.0,19.7,953.8,2029.0,5.1
16,26.7,67.0,20.0,953.3,951.6,1.4
17,30.2,59.0,21.3,952.0,2665.0,0.4
18,29.9,60.0,21.1,951.2,1889.0,0.1
19,30.7,55.0,20.6,950.7,1484.0,0.3
20,NaN,62.0,18.2,951.4,482.0,1.8
21,26.3,64.0,18.9,951.3,44.26,0.0
22,24.8,72.0,19.3,951.7,-3.35,0.0
23,24.4,75.0,19.7,952.9,-3.54,0.0
0,NaN,79.0,20.4,953.6,-3.53,0.0
1,23.6,81.0,20.2,954.5,-3.47,0.0
2,23.6,82.0,20.3,954.7,-3.0,0.0
3,23.3,86.0,20.8,954.5,-3.52,0.0
4,23.2,87.0,20.9,953.9,-3.47,0.0
5,23.2,90.0,21.5,953.0,-3.53,0.0
6,22.8,91.0,21.2,953.1,-3.35,0.0
7,22.7,92.0,21.3,953.2,-2.98,0.0
8,23.0,90.0,21.3,953.5,-2.59,0.0
9,22.7,90.0,21.1,954.6,97.82,2.1
10,24.6,87.0,22.3,955.0,648.9,0.8
11,24.7,85.0,22.0,955.6,533.3,0.0
12,25.7,82.0,22.4,956.1,841.8,1.4
13,27.9,72.0,22.4,955.7,2078.0,1.4
